Sample;A;B;C;D;E;F;G;H;I
24.09.2021 13:00;3.31;2.71;4.53;2.79;1.71;4.48;4.81;4.53;0.7
24.09.2021 21:00;10.24;12.07;9.39;8.32;5.05;9.45;8.83;7.02;6.48
25.09.2021 05:00;4.97;5.31;6.43;3.71;2.8;3.54;5.21;4.47;3.72
25.09.2021 13:00;5.53;6.41;6.2;5.75;3.45;7.14;6.18;3.91;3.25
25.09.2021 21:00;7.19;8.87;7.99;6.78;5.07;7.5;7.44;5.59;4.4
26.09.2021 05:00;4.95;5.11;6.08;4.21;3.87;4.38;5.25;4.71;3.62
26.09.2021 13:00;4.99;4.41;4.81;5.51;3.89;4.48;5.11;4.29;3.58
26.09.2021 21:00;7.23;5.85;5.23;6.06;4.67;5;6.08;5.09;4.14
27.09.2021 05:00;3.51;1.17;2.26;2.34;1.4;1.35;2.53;2.04;1.7
27.09.2021 13:00;4.07;2.96;2.76;4.09;2.08;3.42;3.95;2.3;1.43
27.09.2021 21:00;6.53;6.78;5.05;5.9;4.27;5.89;6.08;4.35;3.46
28.09.2021 05:00;3.1;1.52;2.69;1.97;1.15;1.54;2.29;1.71;1.66
28.09.2021 13:00;3.41;2.88;2.86;3.63;1.73;3.78;3.59;2.16;1.86
28.09.2021 21:00;7.38;9.6;6.76;6.41;4.91;8.36;7.23;5.25;4.52
29.09.2021 05:00;4.67;4.35;4.81;3.95;3.71;2.95;5.19;4.41;3.38
29.09.2021 13:00;4.17;2.84;3.06;3.39;2.57;1.33;4.43;2.73;2.19
29.09.2021 21:00;6.35;4.53;3.85;4.53;3.43;2.5;5.19;3.22;2.97
30.09.2021 05:00;2.39;-1.77;0.32;0.48;-0.82;-2.35;0.48;-0.97;-0.95
30.09.2021 13:00;1.54;-0.88;-0.4;0.27;-0.8;-1.08;1.79;-1.3;-1.67
30.09.2021 21:00;7.65;8.7;4.45;4.83;2.51;7.2;6.47;2.51;1.06
01.10.2021 05:00;2.69;1.4;2.14;0.73;-0.16;0.73;2.18;0.42;0.01
01.10.2021 13:00;2.18;0.71;1.36;1.06;0.05;0.64;2.88;0.09;-0.32
01.10.2021 21:00;7.38;9;5.84;4.91;3.49;6.63;6.14;4.25;2.91
02.10.2021 05:00;4.25;4.09;4.33;2.96;2.69;2.6;4.93;3.26;1.66
02.10.2021 13:00;3.93;4.05;3.87;3.55;2.29;3.36;4.57;2.39;1.51
02.10.2021 21:00;6.02;7.56;6.08;4.87;3.51;5.44;5.82;3.91;2.32
03.10.2021 05:00;3.57;3.3;4.15;2.75;2.45;2.66;3.61;2.76;1.92
03.10.2021 13:00;4.29;4.97;4.53;4.57;2.8;5.3;4.23;2.71;2.31
03.10.2021 21:00;4.63;5.33;4.99;4.47;3.33;4.92;4.49;3.35;2.62
04.10.2021 05:00;3.77;3.49;3.97;3.28;2.88;3.01;3.59;3.16;2.44
04.10.2021 13:00;3.69;3.14;3.39;3.55;2.78;2.71;3.51;2.84;2.36
04.10.2021 21:00;4.61;3.93;3.87;4.15;3.31;3.26;4.11;3.49;2.91
05.10.2021 05:00;2.72;1.66;2.2;1.81;1.79;1.24;2.74;1.93;1.41
05.10.2021 13:00;2.39;1.44;2.29;2.67;1.94;1.43;3.06;1.93;1.55
05.10.2021 21:00;2.41;0.9;1.73;1.66;1.54;0.29;2.63;1.33;1.47
06.10.2021 05:00;1.5;-1.67;0.04;0.37;0.55;-2.18;1.5;-1.09;-0.43
06.10.2021 13:00;1.19;-1.37;-1.15;0.23;-0.35;-3.41;1.11;-1.58;-2.25
06.10.2021 21:00;1.25;-0.36;-0.75;0.23;-0.48;-3.47;1.5;-1.49;-2.63
