Sample	T°C
2020.09.30 19:00:00 24.1324
2020.09.30 21:00:00 25.65
2020.09.30 23:00:00	24.23743
2020.10.01 01:00:00	23.68884
2020.10.01 03:00:00	23.298
2020.10.01 05:00:00	22.94104
2020.10.01 07:00:00	22.64633
2020.10.01 09:00:00	22.7934
2020.10.01 11:00:00	24.82614
2020.10.01 13:00:00	27.56039
2020.10.01 15:00:00	26.98846
2020.10.01 17:00:00	26.1326
2020.10.01 19:00:00	25.17169
2020.10.01 21:00:00	24.48407
2020.10.01 23:00:00	23.90115
2020.10.02 01:00:00	23.5079
2020.10.02 03:00:00	23.298
2020.10.02 05:00:00	23.08932
2020.10.02 07:00:00	22.91147
2020.10.02 09:00:00	22.76392
2020.10.02 11:00:00	24.8887
2020.10.02 13:00:00	27.97028
2020.10.02 15:00:00	27.42493
2020.10.02 17:00:00	26.39359
